,hotel,price,score,avg review,reviews count
0,Hôtel R de Paris - Boutique Hotel,US$196,8.7,Excellent,650
1,Hôtel Soft,US$182,7.7,Good,"1,467"
2,Austin's Arts Et Metiers Hotel,US$248,8.2,Very Good,"1,578"
3,Hôtel Avenir Jonquière,US$82,7.9,Good,"1,594"
4,Motel One Paris-Porte Dorée,US$108,8.7,Excellent,"5,934"
5,UCPA SPORT STATION HOSTEL PARIS,US$46,8.0,Very Good,"3,346"
6,Hotel Korner Eiffel,US$147,8.2,Very Good,"1,209"
7,Kyriad Hotel XIII Italie Gobelins,US$98,8.0,Very Good,"4,120"
8,Hôtel des Comédies,US$159,8.1,Very Good,"1,051"
9,Courcelles Etoile,US$96,8.2,Very Good,"1,049"
10,Nouvel Hôtel Eiffel,US$125,7.9,Good,996
11,Hôtel Albert 1er,US$163,7.7,Good,870
12,Odeon Hotel by Malone,US$228,8.5,Very Good,"1,312"
13,MIJE MARAIS,US$52,7.6,Good,"3,101"
14,Au Pacific Hotel,US$139,8.0,Very Good,"2,871"
15,Hôtel Korner Etoile,US$154,8.3,Very Good,946
16,Hotel Imperial Paris,US$142,8.1,Very Good,"1,038"
17,Belta Hotel,US$108,8.0,Very Good,1
18,Hôtel AMI - Orso Hotels,US$117,8.5,Very Good,856
19,Hotel Viator - Gare de Lyon,US$125,7.9,Good,"1,867"
20,Porte de Versailles Hotel,US$125,7.9,Good,913
21,Hôtel Aurore Paris Gare de Lyon,US$131,7.9,Good,"1,287"
22,Hotel Terminus Lyon,US$132,7.8,Good,"4,193"
23,Hôtel du Mont Blanc,US$127,7.4,Good,"2,231"
24,Le Basile Hôtel,US$251,9.0,Wonderful,"1,350"
25,Hotel Rivoli,US$98,8.1,Very Good,"1,524"
